,word,occurrences,percentile
1631,感谢,4829,0.9844808597269966
1024,脸,4824,0.9844474852317858
2026,办法,4805,0.9844141107365751
395,鸟,4800,0.9843807362413644
861,本来,4784,0.9843473617461536
86,今晚,4776,0.9843139872509429
1512,饭,4771,0.9842806127557321
878,四,4769,0.9842472382605213
2105,节,4738,0.9842138637653105
2051,头,4736,0.9841804892700998
484,貌似,4717,0.984147114774889
468,忙,4702,0.9841137402796782
577,冷,4695,0.9840803657844676
590,关系,4684,0.9840469912892568
2436,爽,4680,0.984013616794046
218,休息,4672,0.9839802422988352
2684,鬼,4669,0.9839468678036245
3320,差,4626,0.9839134933084137
337,这里,4579,0.9838801188132029
517,纸,4577,0.9838467443179922
456,俩,4567,0.9838133698227814
1548,越来越,4566,0.9837799953275707
1347,然后,4552,0.9837466208323599
1811,分,4550,0.9837132463371492
1951,傻,4549,0.9836798718419384
2394,喊,4525,0.9836464973467276
581,郁闷,4522,0.9836131228515169
2289,牛,4521,0.9835797483563061
284,爹,4518,0.9835463738610953
125,恶心,4517,0.9835129993658845
233,些,4511,0.9834796248706739
2982,唱,4510,0.9834462503754631
758,结婚,4503,0.9834128758802523
2001,丫,4478,0.9833795013850416
2921,管,4474,0.9833461268898308
3429,有的,4473,0.98331275239462
1213,你家,4469,0.9832793778994092
353,贵,4451,0.9832460034041985
1192,猪,4443,0.9832126289089878
1273,减肥,4441,0.983179254413777
3478,油,4432,0.9831458799185663
2374,疯,4404,0.9831125054233555
2342,班,4401,0.9830791309281447
730,早上,4399,0.9830457564329339
1378,看着,4384,0.9830123819377232
1549,厉害,4358,0.9829790074425124
1227,太多,4348,0.9829456329473016
662,半,4340,0.982912258452091
1082,电影,4322,0.9828788839568802
879,位,4305,0.9828455094616694
2491,重要,4295,0.9828121349664586
977,实在,4293,0.9827787604712479
2224,样子,4281,0.9827453859760371
2178,之前,4278,0.9827120114808263
178,那些,4269,0.9826786369856156
143,味道,4268,0.9826452624904048
3767,寂寞,4244,0.982611887995194
2508,猫,4229,0.9825785134999833
780,表示,4224,0.9825451390047726
576,热,4223,0.9825117645095618
2177,包,4216,0.982478390014351
224,小心,4209,0.9824450155191403
1006,菜,4208,0.9824116410239295
1850,里面,4207,0.9823782665287187
3363,星期,4204,0.9823448920335079
832,领导,4199,0.9823115175382973
841,感,4193,0.9822781430430865
228,肉,4192,0.9822447685478757
1079,歌,4190,0.982211394052665
2686,重,4185,0.9821780195574542
532,人民,4178,0.9821446450622434
2368,晓得,4174,0.9821112705670326
1018,身体,4168,0.9820778960718219
946,主要,4140,0.9820445215766112
1011,人生,4122,0.9820111470814004
1072,苦,4103,0.9819777725861897
2083,诶,4099,0.9819443980909789
1000,赶紧,4091,0.9819110235957681
1764,呐,4086,0.9818776491005573
2888,翻,4082,0.9818275873577412
1017,养,4082,0.9818275873577412
1015,最好,4081,0.981777525614925
2548,那里,4078,0.9817441511197144
2169,性,4075,0.9817107766245036
1602,老公,4073,0.9816774021292928
940,活,4069,0.981644027634082
1021,各种,4055,0.9816106531388713
504,适合,4045,0.9815605913960551
1567,左,4045,0.9815605913960551
1215,忘,4023,0.981510529653239
424,字,4016,0.9814771551580282
1682,手,3993,0.9814437806628175
2856,如此,3980,0.9814104061676067
1505,屁,3977,0.981377031672396
3587,衣服,3976,0.9813436571771852
858,如何,3974,0.9813102826819744
557,老板,3972,0.9812769081867637
928,不然,3968,0.9812435336915529
499,找到,3956,0.9812101591963421
1225,惨,3938,0.9811767847011313
247,说话,3929,0.9811434102059207
1008,整,3920,0.9811100357107099
2582,抢,3919,0.9810766612154991
2674,类,3916,0.9810432867202884
1940,坑,3909,0.9810099122250776
2972,肥,3907,0.9809765377298668
470,向,3905,0.980943163234656
2222,悲剧,3900,0.9809097887394453
2201,部,3892,0.9808764142442346
1442,看见,3885,0.9808430397490238
630,结果,3870,0.9808096652538131
1612,永远,3868,0.9807762907586023
620,酒,3825,0.9807429162633915
4366,欺负,3823,0.9807095417681807
2346,乖,3821,0.98067616727297
782,年轻,3817,0.9806427927777592
365,嫉妒,3808,0.9806094182825484
1464,知,3800,0.9805760437873378
3605,有些,3795,0.980542669292127
1391,习惯,3792,0.9805092947969162
1243,白,3781,0.9804759203017054
5539,祝福,3769,0.9804425458064947
2050,站,3756,0.9804091713112839
1607,烦,3754,0.9803591095684677
2002,想到,3754,0.9803591095684677
1403,完了,3746,0.9802923605780463
2012,疼,3746,0.9802923605780463
1780,了解,3742,0.9802422988352301
896,总是,3731,0.9802089243400194
1014,哥哥,3726,0.9801755498448086
815,心里,3721,0.9801421753495978
2944,面,3719,0.9800921136067817
3287,红,3719,0.9800921136067817
2520,店,3718,0.9800420518639655
722,怀念,3715,0.9800086773687547
2414,尼玛,3707,0.9799586156259387
849,书,3707,0.9799586156259387
3359,切,3702,0.9798918666355171
706,明白,3702,0.9798918666355171
4022,儿子,3694,0.979841804892701
305,小时,3686,0.9798084303974902
2913,电视,3647,0.9797750559022794
4181,好玩,3641,0.9797416814070687
1252,老婆,3634,0.979708306911858
347,正,3628,0.9796749324166472
326,到底,3623,0.9796415579214365
1896,成功,3613,0.9796081834262257
464,咱们,3596,0.9795581216834095
3730,多谢,3596,0.9795581216834095
162,周,3590,0.9795080599405934
1350,难过,3588,0.9794746854453826
1999,完全,3587,0.9794413109501718
3421,参加,3584,0.9794079364549612
3562,座,3583,0.979357874712145
820,不怕,3583,0.979357874712145
1224,泪,3564,0.9793078129693288
1392,改,3548,0.9792744384741181
2717,说明,3517,0.9792410639789073
199,远,3514,0.9791743149884858
1624,件,3514,0.9791743149884858
3536,以,3514,0.9791743149884858
472,淡定,3507,0.9791075659980643
4523,粉,3494,0.9790575042552482
898,鄙视,3494,0.9790575042552482
350,口,3493,0.979007442512432
1188,杯,3487,0.9789740680172212
3120,群,3476,0.9789406935220105
1209,飞,3474,0.9789073190267997
966,梦,3465,0.9788739445315889
2086,赞,3463,0.9788071955411675
2435,超级,3463,0.9788071955411675
976,本,3463,0.9788071955411675
3113,捏,3462,0.9787237593031406
2099,难受,3462,0.9787237593031406
1871,病,3447,0.9786736975603244
1456,介,3443,0.9786403230651136
930,棒,3442,0.9786069485699029
922,萌,3431,0.9785735740746921
1924,哎呀,3430,0.9785401995794814
2792,严重,3428,0.9785068250842706
1250,贱,3417,0.9784567633414545
1407,份,3417,0.9784567633414545
2695,晒,3416,0.9783900143510329
2450,广告,3416,0.9783900143510329
299,果然,3415,0.9783399526082168
1597,帅哥,3409,0.978306578113006
318,今年,3408,0.9782732036177952
804,特,3407,0.9782398291225846
2167,不在,3404,0.9782064546273738
373,关键,3398,0.978173080132163
4563,忘记,3396,0.9781397056369523
3572,理解,3389,0.9781063311417415
506,在家,3379,0.9780562693989253
1173,眼睛,3379,0.9780562693989253
1432,围脖,3378,0.9780062076561092
3058,娃,3377,0.9779728331608984
614,骗,3376,0.9779394586656877
948,清楚,3370,0.977906084170477
645,请问,3368,0.9778727096752662
2726,留,3349,0.9778393351800554
1331,其他,3344,0.9778059606848446
317,宝贝,3343,0.9777725861896339
2752,王,3327,0.9777392116944231
3086,耍,3321,0.9776891499516069
990,片,3321,0.9776891499516069
1662,不够,3318,0.9776390882087909
3299,只要,3315,0.9776057137135801
567,头像,3312,0.9775723392183693
469,已,3307,0.9775055902279478
2279,安全,3307,0.9775055902279478
1112,下去,3307,0.9775055902279478
1912,受,3305,0.9774388412375263
138,强,3299,0.9774054667423155
766,不管,3294,0.9773720922471048
2218,妹妹,3290,0.977338717751894
2496,食,3287,0.9773053432566833
1056,突然,3285,0.9772719687614725
618,度,3276,0.9772385942662617
1840,不如,3270,0.9771885325234456
2583,下来,3270,0.9771885325234456
1524,国家,3269,0.9771384707806294
2712,吼,3260,0.9771050962854186
3519,后面,3249,0.977071721790208
1459,粉丝,3248,0.9770383472949972
102,正在,3244,0.9770049727997864
1300,兄弟,3241,0.9769715983045757
354,爷,3235,0.9769382238093649
2253,经常,3230,0.9769048493141541
4811,考虑,3228,0.9768714748189433
286,简单,3216,0.9768381003237326
1530,猜,3215,0.9768047258285218
2517,咧,3209,0.976771351333311
1155,考,3208,0.9767379768381004
1921,要不,3198,0.9767046023428896
573,低调,3195,0.9766712278476788
1068,就要,3192,0.976637853352468
2133,倒,3187,0.9766044788572573
2360,爸,3181,0.9765711043620465
2790,杀,3177,0.9765377298668357
1848,妞,3174,0.976504355371625
4799,昨晚,3162,0.9764709808764143
1793,精神,3153,0.9764376063812035
466,段,3142,0.9764042318859927
290,正常,3140,0.976370857390782
2152,想念,3137,0.9763374828955712
4635,周末,3136,0.9763041084003604
3037,文化,3133,0.9762707339051497
4115,狠,3123,0.9762039849147282
3228,十,3123,0.9762039849147282
772,马上,3123,0.9762039849147282
2935,喝酒,3121,0.9761372359243067
3759,台,3108,0.9761038614290959
3092,气,3107,0.9760704869338851
4371,进,3094,0.9760371124386744
968,头发,3087,0.9760037379434636
439,介绍,3084,0.9759703634482528
4341,机,3071,0.975936988953042
2850,姑娘,3066,0.9759036144578314
1106,擦,3065,0.9758702399626206
3604,听说,3064,0.9758368654674098
269,收,3057,0.9758034909721991
271,画,3040,0.9757701164769883
2682,定,3037,0.9757367419817775
1175,鸡,3030,0.9757033674865667
1661,呦,3026,0.975669992991356
1788,聪明,3022,0.9756366184961452
890,值得,3014,0.9756032440009345
913,耶,3011,0.9755698695057238
2243,感动,3008,0.975536495010513
2571,恩恩,3007,0.9755031205153022
